Date,Open,High,Low,Close,Volume,KDJ ,W%R ,RSI,label
2012/9/20,99.879997,100.008568,99.08857,99.814285,84142100,-0.265085808,-0.274285,306.7984301,-0.157143
2012/9/21,100.344284,100.724289,99.908569,100.012856,142897300,-0.887614457,-0.895713,-402.8486668,0.464287
2012/9/24,98.122856,99.302856,97.571426,98.684288,159941600,0.130297853,0.112862,175.291544,-2.221428
2012/9/25,98.322861,98.968575,96.14286,96.220001,129697400,-0.894307361,-0.922859,138.7300651,0.200005
2012/9/26,95.534286,96.098572,94.457146,95.025711,144125800,-0.414354351,-0.431435,176.7866984,-2.788575
2012/9/27,94.898575,97.452858,94.335716,97.331429,148522500,2.027699153,1.995713,53.81264375,-0.635711
2012/9/28,96.964287,97.30143,95.25,95.300003,133777700,-0.928913754,-0.949997,145.2442887,2.065712
2012/10/1,95.879997,96.678574,93.785713,94.19857,135898700,-0.557220538,-0.587143,181.8236526,-1.08429
2012/10/2,94.544289,95.192856,92.949997,94.472855,156998100,0.546419211,0.522858,-249.2346108,-1.335708
2012/10/3,94.980003,95.980003,94.66143,95.921425,106070300,0.273732997,0.259995,29.25484344,0.435714
2012/10/4,95.89286,96.321426,95.078575,95.257141,92681400,-0.808530838,-0.821434,240.3196417,0.912857
2012/10/5,95.028572,95.14286,93.040001,93.227142,148501500,-0.790756879,-0.812859,142.1818641,-0.864288
2012/10/8,92.41143,92.508568,90.872856,91.167145,159498500,-0.688029265,-0.705711,138.4831021,-2.617142
2012/10/9,91.235718,91.498573,89.078575,90.835716,209649300,0.783589478,0.757141,366.2400716,-1.175712
2012/10/10,91.391426,92.139999,91,91.558571,127589000,-0.429056534,-0.441429,-34.82671422,0.155708
2012/10/11,92.35714,92.457146,89.728569,89.728569,136520300,-0.970488198,-1,141.5905223,0.965714
2012/10/12,89.937141,90.76857,89.328575,89.958572,115003700,-0.354138533,-0.370003,-300.3905555,-2.419999
2012/10/15,90.335716,90.732857,89.121429,90.68,108125500,0.576331137,0.558571,-34.73657707,0.398575
2012/10/16,90.767143,92.900002,90.14286,92.827141,137442900,1.7139596,1.684281,48.44709587,0.431427
2012/10/17,92.695717,93.255714,92,92.087143,97259400,-0.899391723,-0.912857,218.2695625,1.928574
2012/10/18,91.370003,91.722855,90,90.377144,119156100,-0.604072732,-0.622856,145.9393049,-1.325714
2012/10/19,90.150002,90.252853,87.08857,87.120003,186021500,-0.933506801,-0.968567,118.1245286,-1.220001
2012/10/22,87.488571,90.76857,87.251427,90.575714,136682700,2.363035468,2.324287,61.90956063,-2.661431
2012/10/23,90.14286,90.557144,87.385712,87.622856,176786400,-0.727834666,-0.762856,121.2496286,2.654289
2012/10/24,88.777145,89.507141,87.234283,88.118568,139631800,-0.090321965,-0.115715,-89.13876365,-1.365715
2012/10/25,88.571426,88.85714,86.507141,87.077141,164081400,-0.403553065,-0.43,172.7318611,-0.205719
2012/10/26,87.061432,87.714287,84.428574,86.285713,254608200,0.894598268,0.857139,197.1024889,-1.509994
2012/10/31,84.982857,85.994286,83.957146,85.045715,127500800,0.112258248,0.088569,155.8710777,-2.078575
2012/11/1,85.459999,86.14286,84.881432,85.220001,90324500,-0.646787558,-0.661431,-402.9207023,0.477142
2012/11/2,85.127144,85.278572,82.10714,82.400002,149843400,-0.669948916,-0.707138,115.4398702,-0.332855
2012/11/5,83.360001,83.96714,82.514282,83.517143,132283900,0.020163697,0.002861,8.640286798,-1.767143
2012/11/6,84.318573,84.391426,82.870003,83.264282,93729300,-0.58769283,-0.605721,413.8058906,0.958572
2012/11/7,81.977142,82.077141,79.39286,79.714287,198412200,-0.645868632,-0.678573,106.7190424,-2.341431
2012/11/8,80.089996,80.318573,76.470001,76.821426,264036500,-0.600658661,-0.648575,107.2698063,-1.887146
2012/11/9,77.202858,79.26857,76.245712,78.151428,232478400,0.943850383,0.905716,19.06104218,-2.887138
2012/11/12,79.164284,79.214287,76.949997,77.547142,128950500,-0.374270636,-0.402855,207.4799711,1.961426
2012/11/13,76.987144,78.639999,76.622856,77.557144,133237300,-0.040061656,-0.065712,-7675.616425,-2.17714
2012/11/14,77.928574,78.207146,76.597145,76.697144,119292600,-0.879414633,-0.900001,167.7398696,0.94143
2012/11/15,76.790001,77.071426,74.660004,75.08857,197477700,-0.540145854,-0.571434,124.3773527,-1.138573
2012/11/16,75.028572,75.714287,72.25,75.382858,316723400,2.178612733,2.132858,-180.0647832,-1.761429
2012/11/19,77.244286,81.071426,77.125717,80.818573,205829400,2.74152554,2.692856,61.51479133,2.215714
2012/11/20,81.701431,81.707146,79.225716,80.129997,160688500,-0.065349196,-0.095719,198.1891654,4.457145
2012/11/21,80.60714,81.052856,79.514282,80.242859,93250500,-0.252440646,-0.271423,-629.8520785,-1.094291
